feature,definition,information_available,assumptions,intervention_status
terminal_context.callbacks_remaining,Number of actionable callbacks including the current one: 719 - step.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.shed_product_units,Current own shed units that are market products.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.carried_product_units,Current product units carried by all own workers.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.individually_deliverable_carried_units,Product cargo on workers with Manhattan distance to shed plus one DROP <= remaining callbacks.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.deadline_blocked_carried_units,Product cargo on workers that individually cannot satisfy that deadline.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.shed_liquidation_scenario_value,Exact single-seller sale value of current own shed products at the current market inventory.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.deliverable_cargo_marginal_scenario_value,Incremental single-seller scenario value of independently deliverable cargo after current shed products.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.deadline_blocked_cargo_marginal_scenario_value,Additional hypothetical single-seller value of deadline-blocked cargo after shed and feasible cargo.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.shed_room_before_actions,"100 minus all current shed units, including nonsellable animals.","Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.optimistic_delivery_overflow_units,"Max(0, all shed units + all independently deliverable inventory units - 100).","Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.workers_with_product_cargo,Number of own workers carrying at least one market product.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
terminal_context.workers_missing_delivery_deadline,Number of product-carrying workers whose independent travel-plus-DROP misses the terminal deadline.,"Own legal current observation only; no rewards, seeds, future replay or rival private state.","Default 10x10 board, 24 hours/day, final-day callbacks 696..718. Delivery is independent and optimistic; values exclude rival orders and future prices.",Candidate logged for activation only; not used to change actions in notebook09.
